SKU,Description,Ridgefield latte,Oxford latte,Ridgefield pastel,Oxford Pastel,,,,,,,
SPIN-S-42,"42"" Shaker Spindle",495,495,495,495,,,,,,B,
WDE1230,"30"" Wall Decorative Door",112,118,112,118,,,,,,B,
WDE1236,"36"" Wall Decorative Door",130,137,130,137,,,,,,B,
WDE1242,"42"" Wall Decorative Door",148,157,148,157,,,,,,B,
BDE24,Base Decorative Door,213,224,213,224,,,,,,B,
TDE84,"84"" Tall Decorative Door",570,598,570,598,,,,,,B,
TDE90,"90"" Tall Decorative Door",609,640,609,640,,,,,,B,
TDE96,"96"" Tall Decorative Door",648,681,648,681,,,,,,B,
TUK,Touch Up Kit,97,97,97,97,,,,,,B,
CRM2,Crown Molding,113,113,113,113,,,,,,B,
RCRM2,Royal Crown Molding,217,217,217,217,,,,,,B,
DM,Dental Molding,38,38,38,38,,,,,,B,
RM,Rope Molding,36,36,36,36,,,,,,B,
LTR2,Light Rail Molding,124,124,124,124,,,,,,B,
OCM,Outside Corner Molding,75,75,75,75,,,,,,B,
ICM2,Inside Corner Molding,75,75,75,75,,,,,,B,
SCM2,Scribe Molding,62,62,62,62,,,,,,B,
BM2,Base Molding,141,141,141,141,,,,,,B,
TKS,Toe Kick,94,94,94,94,,,,,,B,
DS12,Door Sample,97,97,97,97,,,,,,B,
SBF15,Sample Base Front,154,154,154,154,,,,,,B,
MINI BASE,Sample Mini Base,384,384,384,384,,,,,,B,
BASIC MOLDING CHAIN,#N/A,154,154,154,154,,,,,,B,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
SKU,Description,Dover Espresso ,Dover Café ,Newport Café ,Milan Latte,Dover Latte,Newport Latte,Dover Shale ,Milan Shale ,,,
1812,"12"" High Wall Cabinet",208,208,208,225,225,225,232,232,,P,
2412,"12"" High Wall Cabinet",253,253,253,275,275,275,284,284,,P,
3012,"12"" High Wall Cabinet",283,283,283,305,305,305,315,315,,P,
3312,"12"" High Wall Cabinet",314,314,314,339,339,339,350,350,,P,
3612,"12"" High Wall Cabinet",342,342,342,369,369,369,381,381,,P,
4212,"12"" High Wall Cabinet",367,367,367,397,397,397,409,409,,P,
4812,"12"" High Wall Cabinet",395,395,395,427,427,427,440,440,,P,
2415,"15"" High Wall Cabinet",253,253,253,286,286,286,295,295,,P,
3015,"15"" High Wall Cabinet",335,335,335,366,366,366,377,377,,P,
3315,"15"" High Wall Cabinet",365,365,365,395,395,395,407,407,,P,
3615,"15"" High Wall Cabinet",395,395,395,427,427,427,440,440,,P,
1818,"18"" High Wall Cabinet",222,222,222,239,239,239,247,247,,P,
2118,"18"" High Wall Cabinet",222,222,222,239,239,239,247,247,,P,
2418,"18"" High Wall Cabinet",283,283,283,305,305,305,315,315,,P,
3018,"18"" High Wall Cabinet",365,365,365,395,395,395,407,407,,P,
3318,"18"" High Wall Cabinet",395,395,395,427,427,427,440,440,,P,
3618,"18"" High Wall Cabinet",425,425,425,459,459,459,473,473,,P,
2421,"21"" High Wall Cabinet",310,310,310,335,335,335,346,346,,P,
3021,"21"" High Wall Cabinet",475,475,475,513,513,513,529,529,,P,
1224,"24"" High Wall Cabinet",277,277,277,300,300,300,309,309,,P,
1524,"24"" High Wall Cabinet",306,306,306,331,331,331,341,341,,P,
1824,"24"" High Wall Cabinet",335,335,335,362,362,362,373,373,,P,
2124,"24"" High Wall Cabinet",365,365,365,395,395,395,407,407,,P,
2424,"24"" High Wall Cabinet",415,415,415,448,448,448,462,462,,P,
2724,"24"" High Wall Cabinet",445,445,445,480,480,480,495,495,,P,
3024,"24"" High Wall Cabinet",475,475,475,513,513,513,529,529,,P,
3324,"24"" High Wall Cabinet",505,505,505,545,545,545,562,562,,P,
3624,"24"" High Wall Cabinet",532,532,532,575,575,575,593,593,,P,
4224,"24"" High Wall Cabinet",592,592,592,640,640,640,660,660,,P,
3027,"27"" High Wall Cabinet",484,484,484,522,522,522,538,538,,P,
3012x24,"24"" Deep Wall Cabinet",511,511,511,551,551,551,568,568,,P,
3612x24,"24"" Deep Wall Cabinet",570,570,570,616,616,616,635,635,,P,
4812x24,"24"" Deep Wall Cabinet",605,605,605,654,654,654,674,674,,P,
3015x24,"24"" Deep Wall Cabinet",513,513,513,554,554,554,571,571,,P,
3315x24,"24"" Deep Wall Cabinet",543,543,543,587,587,587,605,605,,P,
3615x24,"24"" Deep Wall Cabinet",573,573,573,619,619,619,638,638,,P,
3018X24,"24"" Deep Wall Cabinet",582,582,582,628,628,628,647,647,,P,
3318X24,"24"" Deep Wall Cabinet",560,560,560,605,605,605,624,624,,P,
3618X24,"24"" Deep Wall Cabinet",582,582,582,628,628,628,647,647,,P,
2424X24,"24"" Deep Wall Cabinet",445,445,445,480,480,480,495,495,,P,
3024x24,"24"" Deep Wall Cabinet",582,582,582,628,628,628,647,647,,P,
3324x24,"24"" Deep Wall Cabinet",612,612,612,661,661,661,681,681,,P,
3624x24,"24"" Deep Wall Cabinet",740,740,740,799,799,799,823,823,,P,
930,"30"" High Wall Cabinet",247,247,247,267,267,267,276,276,,P,
1230,"30"" High Wall Cabinet",277,277,277,300,300,300,309,309,,P,
1530,"30"" High Wall Cabinet",306,306,306,331,331,331,341,341,,P,
1830,"30"" High Wall Cabinet",335,335,335,362,362,362,373,373,,P,
2130,"30"" High Wall Cabinet",365,365,365,395,395,395,407,407,,P,
2430,"30"" High Wall Cabinet",423,423,423,457,457,457,471,471,,P,
2730,"30"" High Wall Cabinet",454,454,454,491,491,491,506,506,,P,
3030,"30"" High Wall Cabinet",484,484,484,523,523,523,539,539,,P,
3330,"30"" High Wall Cabinet",515,515,515,556,556,556,573,573,,P,
3630,"30"" High Wall Cabinet",543,543,543,587,587,587,605,605,,P,
3930,"30"" High Wall Cabinet",586,586,586,633,633,633,652,652,,P,
4230,"30"" High Wall Cabinet",618,618,618,668,668,668,689,689,,P,
4830,"30"" High Wall Cabinet",846,846,846,916,916,916,944,944,,P,
5430,"30"" High Wall Cabinet",908,908,908,982,982,982,1012,1012,,P,
CW2430,"30"" High Corner Wall cabinet",666,666,666,726,726,726,748,748,,P,
WSQ2430,"30"" High Wall Square Corner Cabinet",705,705,705,761,761,761,784,784,,P,
BLW27/3030,"30"" High Blind Wall cabinet",447,447,447,482,482,482,497,497,,P,
BLW30/3330,"30"" High Blind Wall cabinet",556,556,556,600,600,600,618,618,,P,
BLW36/3930,"30"" High Blind Wall cabinet",558,558,558,621,621,621,640,640,,P,
BLW39/4230,"30"" High Blind Wall cabinet",591,591,591,639,639,639,659,659,,P,
BLW42/4530,"30"" High Blind Wall cabinet",635,635,635,686,686,686,707,707,,P,
WFI1230,"30"" High Finished Interior Wall Cabinet",415,415,415,415,415,415,415,415,,P,
WFI1530,"30"" High Finished Interior Wall Cabinet",425,425,425,425,425,425,425,425,,P,
WFI1830,"30"" High Finished Interior Wall Cabinet",454,454,454,454,454,454,454,454,,P,
WFI2430,"30"" High Finished Interior Wall Cabinet",564,564,564,564,564,564,564,564,,P,
WFI3030,"30"" High Finished Interior Wall Cabinet",574,574,574,574,574,574,574,574,,P,
WFI3630,"30"" High Finished Interior Wall Cabinet",630,630,630,630,630,630,630,630,,P,
CWFI2430,"30"" High Finished Interior Corner Wall cabinet",655,655,655,655,655,655,655,655,,P,
GD1230,"30"" High Glass Door",146,146,146,158,158,158,163,163,,P,
GD1530,"30"" High Glass Door",149,149,149,161,161,161,166,166,,P,
GD1830,"30"" High Glass Door",166,166,166,179,179,179,185,185,,P,
GD2430,"30"" High Glass Door",292,292,292,316,316,316,326,326,,P,
GD3030,"30"" High Glass Door",298,298,298,322,322,322,332,332,,P,
GD3630,"30"" High Glass Door",332,332,332,358,358,358,369,369,,P,
GDCW2430,"30"" High Corner Wall Glass Door",149,149,149,161,161,161,166,166,,P,
MD1230,"30"" High Mullion Glass Door",161,161,161,174,174,174,180,180,,P,
MD1530,"30"" High Mullion Glass Door",164,164,164,177,177,177,183,183,,P,
MD1830,"30"" High Mullion Glass Door",183,183,183,198,198,198,204,204,,P,
MD2430,"30"" High Mullion Glass Door",322,322,322,348,348,348,359,359,,P,
MD3030,"30"" High Mullion Glass Door",328,328,328,354,354,354,365,365,,P,
MD3630,"30"" High Mullion Glass Door",366,366,366,396,396,396,408,408,,P,
MDCW2430,"30"" High Corner Wall Mullion Glass Door",164,164,164,177,177,177,183,183,,P,
ND1530,"30"" High 9 Light Glass Door",N/A,N/A,N/A,N/A,N/A,N/A,253,253,,P,
ND1830,"30"" High 9 Light Glass Door",N/A,N/A,N/A,N/A,N/A,N/A,282,282,,P,
ND3030,"30"" High 9 Light Glass Door",N/A,N/A,N/A,N/A,N/A,N/A,504,504,,P,
ND3630,"30"" High 9 Light Glass Door",N/A,N/A,N/A,N/A,N/A,N/A,564,564,,P,
NDCW2430,"30"" High 9 Light Corner Wall Glass Door",N/A,N/A,N/A,N/A,N/A,N/A,253,253,,P,
AFG1230,"30"" High Aluminum Glass Door",175,175,175,175,175,175,175,175,,P,
AFG1530,"30"" High Aluminum Glass Door",217,217,217,217,217,217,217,217,,P,
AFG1830,"30"" High Aluminum Glass Door",261,261,261,261,261,261,261,261,,P,
AFG2430,"30"" High Aluminum Glass Door",350,350,350,350,350,350,350,350,,P,
AFG3030,"30"" High Aluminum Glass Door",434,434,434,434,434,434,434,434,,P,
AFG3630,"30"" High Aluminum Glass Door",522,522,522,522,522,522,522,522,,P,
936,"36"" High Wall Cabinet",307,307,307,332,332,332,342,342,,P,
1236,"36"" High Wall Cabinet",335,335,335,362,362,362,373,373,,P,
1536,"36"" High Wall Cabinet",365,365,365,395,395,395,407,407,,P,
1836,"36"" High Wall Cabinet",406,406,406,438,438,438,452,452,,P,
2136,"36"" High Wall Cabinet",434,434,434,469,469,469,484,484,,P,
