PRODUCT COLLECTION,PRODUCT ID,SIZE,FINISH,THICKNESS ,SQFT PER PIECE,PIECES PER BOX,SQFT PER BOX,U/M,PRICE / UOM,PRICE /  EACH,,Item Id,Web Link,Product Line,Material,Product Category,Item Description,Status,Source,Volume,Creation Date
SILVER TRAVERTINE HERRINGBONE MOSAIC,SMOT-SILTRA-HBH,PATTERN,HONED,0.38 INCH,1,10,10,EACH,8.3,8.3,,SMOT-SILTRA-HBH,www.msisurfaces.com/silver-travertine/herringbone-honed/,MD,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Silver Travertine Herringbone Honed,MSI,Q1-2019 Price List,NEW,8-Dec-15
SILVER TRAVERTINE PENCIL MOLDING,SMOT-PENCIL-SILTRA,MISC.,HONED,0.75 INCH,N/A,20,N/A,EACH,4.4,4.4,,SMOT-PENCIL-SILTRA,www.msisurfaces.com/pencil-moldings/silver-travertine/,MD,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Silver Travertine Pencil Molding Honed,MSI,Q1-2019 Price List,NEW,8-Dec-15
SILVER TRAVERTINE SPLITFACE INTERLOCKING MOSAIC,SMOT-SILTRA-SF10MM,PATTERN,SPLITFACE,0.38 INCH,1.02,10,10.2,EACH,11.08,11.08,,SMOT-SILTRA-SF10MM,www.msisurfaces.com/silver-travertine/silver-travertine-splitface/,MD,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Silver Travertine Splitface Interlocking,MSI,Q1-2019 Price List,NEW,7-Jun-16
SILVER TRAVERTINE VEIN CUT 12X24,TTSILTRVC1224HF,12x24,HF,0.50 INCH,2,1,2,SQFT,6.63,13.25,,TTSILTRVC1224HF,www.msisurfaces.com/travertine/silver-vein-cut-travertine/,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Silver Travertine Vein Cut 12x24x.50 HF,MSI,Q1-2019 Price List,NEW,18-Jun-14
SILVER TRAVERTINE VERSAILLES PATTERN HUFCB,TTSIL-PAT-HUCB,PATTERN,HUFCB,0.50 INCH,16,1,16,SQFT/KIT,4.87,77.99,,TTSIL-PAT-HUCB,www.msisurfaces.com/travertine/silver-travertine/,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Silver Trav. Pattern HUFCB - 16 sqft,MSI/Hardscape,Q1-2019 Price List,MATURE,27-Nov-07
SILVER TRAVERTINE VERSAILLES PATTERN TUMBLED,TTSIL-PAT-TUM,PATTERN,TUMBLED,0.50 INCH,16,1,16,SQFT/KIT,4.73,75.72,,TTSIL-PAT-TUM,www.msisurfaces.com/travertine/silver-travertine/,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Silver Trav. Pattern Tum - 16 sqft,MSI/Hardscape,Q1-2019 Price List,NEW,25-Jan-16
SILVER TRAVERTINE12X12,TTSILTR1212HF,12x12,HF,0.38 INCH,1,10,10,SQFT,4.67,4.67,,TTSILTR1212HF,www.msisurfaces.com/travertine/silver-travertine/,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Silver Trav. 12x12x.38 HF,MSI,Q1-2019 Price List,MATURE,27-Nov-07
SILVER TRAVERTINE18X18,TTSILTR1818HF,18x18,HF,0.50 INCH,2.25,1,2.25,SQFT,4.68,10.53,,TTSILTR1818HF,www.msisurfaces.com/travertine/silver-travertine/,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Silver Trav. 18x18x.50 HF,MSI,Q1-2019 Price List,MATURE,27-Nov-07
TUSCANY ALABASTRINO VERSAILLES PATTERN,TTALAB-PAT-HFC,PATTERN,HUFC,0.50 INCH,16,1,16,SQFT/KIT,5.01,80.17,,TTALAB-PAT-HFC,,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Tus. Alabastrino Pat. H/F/CH Edge 16Sqft,MSI/Hardscape,Q1-2019 Price List,NEW,21-Feb-13
TUSCANY BEIGE 12X12,TTBEIG1212HF,12x12,HF,0.38 INCH,1,10,10,SQFT,2.78,2.78,,TTBEIG1212HF,www.msisurfaces.com/travertine/tuscany-beige/,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Tus. Beige 12x12x.38 HF,MSI,New Item,MATURE,27-Nov-07
TUSCANY BEIGE 12X24,TTBEIG1224HF,12x24,HF,0.50 INCH,2,1,2,SQFT,3.41,6.83,,TTBEIG1224HF,www.msisurfaces.com/travertine/tuscany-beige/,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Tus. Beige 12x24x.50 HF,MSI,New Item,NEW,16-May-16
TUSCANY BEIGE 18X18,TTBEIG1818HF,18x18,HF,0.50 INCH,2.25,1,2.25,SQFT,2.5,5.63,,TTBEIG1818HF,www.msisurfaces.com/travertine/tuscany-beige/,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Tus. Beige 18x18x.50 HF,MSI,Q1-2019 Price List,MATURE,27-Nov-07
TUSCANY BEIGE 3X6,TTBEIG36T,3X6,TUMBLED,0.38 INCH,0.13,40,5,SQFT,3.36,0.42,,TTBEIG36T,www.msisurfaces.com/travertine-3x6-tumbled/tuscany-classic-subway-tile/,MD,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Tuscany Beige 3x6 Tumbled,MSI,Q1-2019 Price List,,27-Nov-07
